Time (s),ECG (mV)
0.0,0.0
0.002,0.003379873148154365
0.004,0.00675686378131469
0.006,0.010128093221604049
0.008,0.013490690459966868
0.01,0.016841795977055065
0.012,0.020178565547906327
0.014,0.023498174025047596
0.016,0.026797819094687682
0.018000000000000002,0.03007472500070094
0.02,0.033326146231149864
0.022,0.036549371162147425
0.024,0.03974172565392077
0.026000000000000002,0.042900576594005674
0.028,0.04602333538257603
0.03,0.04910746135499531
0.032,0.052150465136765425
0.034,0.055149911926144865
0.036000000000000004,0.058103424699810696
0.038,0.06100868733704772
0.04,0.06386344765806479
0.042,0.06666552037215874
0.044,0.06941278993157628
0.046,0.07210321328705599
0.048,0.074734822541174
0.05,0.07730572749576088
0.052000000000000005,0.07981411808980801
0.054,0.08225826672443737
0.056,0.08463653047166861
0.058,0.08694735316388284
0.06,0.08918926736105094
0.062,0.09136089619296937
0.064,0.09346095507392183
0.066,0.0954882532873681
0.068,0.09744169543844489
0.07,0.09932028277225127
0.07200000000000001,0.10112311435608218
0.074,0.10284938812396617
0.076,0.10449840178205957
0.078,0.10606955357364602
0.08,0.10756234290269046
0.082,0.10897637081509663
0.084,0.11031134033702007
0.08600000000000001,0.11156705666979017
0.088,0.11274342724119966
0.09,0.11384046161312358
0.092,0.11485827124563198
0.094,0.11579706911796786
0.096,0.11665716920696015
0.098,0.11743898582364906
0.1,0.11814303280909783
0.10200000000000001,0.11876992259056793
0.10400000000000001,0.11932036509943089
0.106,0.11979516655238735
0.108,0.12019522809775748
0.11,0.12052154432879778
0.112,0.12077520166618931
0.114,0.12095737661202631
0.116,0.12106933387781788
0.11800000000000001,0.12111242438919342
0.12,0.12108808317017751
0.122,0.12099782711007055
0.124,0.12084325261613872
0.126,0.12062603315547746
0.128,0.12034791668957137
0.13,0.12001072300522414
0.132,0.11961634094567995
0.134,0.11916672554589909
0.136,0.11866389507608575
0.138,0.1181099279976972
0.14,0.11750695983628638
0.14200000000000002,0.11685717997564815
0.14400000000000002,0.11616282837785134
0.146,0.11542619223384297
0.148,0.1146496025494097
0.15,0.1138354306713731
0.152,0.11298608475897946
0.154,0.11210400620552305
0.156,0.11119166601531102
0.158,0.11025156114114239
0.16,0.10928621078752818
0.162,0.10829815268492908
0.164,0.10728993934032675
0.166,0.10626413426947867
0.168,0.10522330821623242
0.17,0.10417003536429202
0.17200000000000001,0.10310688954684066
0.17400000000000002,0.10203644045942603
0.176,0.10096124988150888
0.178,0.0998838679120644
0.18,0.09880682922460335
0.182,0.09773264934695372
0.184,0.0966638209711072
0.186,0.0956028102983915
0.188,0.09455205342517913
0.19,0.0935139527742854
0.192,0.09249087357714265
0.194,0.09148514041176517
0.196,0.09049903380143948
0.198,0.08953478687898861
0.2,0.08859458212136385
0.202,0.08768054815921882
0.20400000000000001,0.08679475666601201
0.20600000000000002,0.08593921933107214
0.20800000000000002,0.08511588492093901
0.21,0.08432663643316848
0.212,0.08357328834665685
0.214,0.08285758397240332
0.216,0.08218119290848515
0.218,0.08154570860287233
0.22,0.08095264602755431
0.222,0.08040343946729268
0.224,0.07989944042615096
0.226,0.07944191565478396
0.228,0.0790320453012972
0.23,0.07867092118831194
0.232,0.07835954521868949
0.234,0.07809882791218702
0.23600000000000002,0.07788958707512973
0.23800000000000002,0.0777325466049944
0.24,0.07762833543160787
0.242,0.07757748659646893
0.244,0.07758043647150531
0.246,0.07763752411837894
0.248,0.07774899078925258
0.25,0.07791497956972882
0.252,0.0781355351644707
0.254,0.07841060382580947
0.256,0.07874003342544109
0.258,0.07912357366910994
0.26,0.07956087645397411
0.262,0.08005149636814297
0.264,0.0805948913316761
0.266,0.08119042337813037
0.268,0.0818373595755422
0.27,0.08253487308553308
0.272,0.08328204435902974
0.274,0.084077862466896
0.276,0.08492122656358053
0.278,0.0858109474816959
0.28,0.0867457494552574
0.28200000000000003,0.08772427196912652
0.28400000000000003,0.08874507173202474
0.28600000000000003,0.08980662477030692
0.28800000000000003,0.09090732863951118
0.29,0.09204550475053463
0.292,0.09321940080712149
0.294,0.09442719335118954
0.296,0.09566699041236998
0.298,0.09693683425798463
0.3,0.09823470423954232
0.302,0.0995585197316992
0.304,0.1009061431594945
0.306,0.10227538310954837
0.308,0.10366399752078823
0.31,0.10506969695015715
0.312,0.10649014790864916
0.314,0.10792297626291839
0.316,0.10936577069761316
0.318,0.11081608623350062
0.32,0.11227144779636686
0.322,0.11372935383160629
0.324,0.11518727995934673
0.326,0.11664268266490035
0.328,0.11809300301927857
0.33,0.11953567042446753
0.332,0.12096810637812255
0.334,0.12238772825231493
0.336,0.12379195308094203
0.338,0.1251782013503989
0.34,0.126543900788106
0.342,0.12788649014348896
0.34400000000000003,0.1292034229560164
0.34600000000000003,0.13049217130492155
0.34800000000000003,0.13175022953525692
0.35000000000000003,0.1329751179549653
0.352,0.13416438649769233
0.354,0.13531561834611183
0.356,0.1364264335105927
0.358,0.13749449235809835
0.36,0.13851749908628053
0.362,0.13949320513780586
0.364,0.1404194125500393
0.366,0.14129397723529952
0.368,0.1421148121869984
0.37,0.14287989060708461
0.372,0.1435872489503199
0.374,0.14423498988103506
0.376,0.14482128513813852
0.378,0.14534437830427835
0.38,0.14580258747519423
0.382,0.1461943078254398
0.384,0.1465180140668
0.386,0.1467722627958816
0.388,0.14695569472751194
0.39,0.1470670368107433
0.392,0.1471051042244252
0.394,0.1470688022494805
0.396,0.146957128015193
0.398,0.14676917211699547
0.4,0.1465041201034275
0.402,0.1461612538301195
0.404,0.14573995267884718
0.406,0.14523969463989225
0.40800000000000003,0.144660057256139
0.41000000000000003,0.14400071842753334
0.41200000000000003,0.14326145707472812
0.41400000000000003,0.14244215366093863
